sample	category	value
Sample1	Purity	0.49
Sample2	Purity	0.39
Sample3	Purity	0.17
Sample4	Purity	0.97
Sample5	Purity	0.47000000000000003
Sample6	Purity	0.51
Sample7	Purity	0.09
Sample8	Purity	0.54
Sample9	Purity	0.18
Sample10	Purity	0.74
Sample11	Purity	0.7000000000000001
Sample12	Purity	0.23
Sample13	Purity	0.9
Sample14	Purity	0.9400000000000001
Sample15	Purity	0.7000000000000001
Sample16	Purity	0.5700000000000001
Sample17	Purity	0.6900000000000001
Sample18	Purity	0.13
Sample19	Purity	0.05
Sample20	Purity	0.89
Sample21	Purity	0.51
Sample22	Purity	0.92
Sample23	Purity	0.74
Sample24	Purity	0.29
Sample25	Purity	0.49
Sample26	Purity	0.07
Sample27	Purity	0.6900000000000001
Sample28	Purity	0.9
Sample29	Purity	0.93
Sample30	Purity	0.5700000000000001
Sample31	Purity	0.39
Sample32	Purity	0.93
Sample33	Purity	0.8
Sample34	Purity	0.72
Sample35	Purity	0.92
Sample36	Purity	0.29
Sample37	Purity	0.7000000000000001
Sample38	Purity	0.19
Sample39	Purity	0.0
Sample40	Purity	0.97
Sample41	Purity	0.85
Sample42	Purity	0.47000000000000003
Sample43	Purity	0.05
Sample44	Purity	0.92
Sample45	Purity	0.74
Sample46	Purity	0.27
Sample47	Purity	0.39
Sample48	Purity	0.79
Sample49	Purity	0.35000000000000003
Sample50	Purity	0.19
